Textbox6,KOD_NAZWA_KRAJ,ROK3,KOD_NAZWA_KRAJ3,WARTOŚĆ3
Kraje,BY - Białoruś,2011,Wartość usług nabytych,"494 669,5"
Kraje,BY - Białoruś,2012,Wartość usług nabytych,"515 553,4"
Kraje,BY - Białoruś,2013,Wartość usług nabytych,"632 561,1"
Kraje,BY - Białoruś,2014,Wartość usług nabytych,"548 324,9"
Kraje,BY - Białoruś,2015,Wartość usług nabytych,"559 129,8"
Kraje,BY - Białoruś,2016,Wartość usług nabytych,"458 608,6"
Kraje,BY - Białoruś,2017,Wartość usług nabytych,"771 808,1"
Kraje,BY - Białoruś,2018,Wartość usług nabytych,"945 959,5"
Kraje,BY - Białoruś,2019,Wartość usług nabytych,"939 241,9"
Kraje,BY - Białoruś,2020,Wartość usług nabytych,"742 298,2"
Kraje,BY - Białoruś,2021,Wartość usług nabytych,"1 092 771,3"
Kraje,BY - Białoruś,2022,Wartość usług nabytych,.
Kraje,CA - Kanada,2010,Wartość importu towarów według krajów pochodzenia,"1 605 529,2"
Kraje,CA - Kanada,2011,Wartość importu towarów według krajów pochodzenia,"923 587,3"
Kraje,CA - Kanada,2012,Wartość importu towarów według krajów pochodzenia,"1 704 809,5"
Kraje,CA - Kanada,2013,Wartość importu towarów według krajów pochodzenia,"1 259 872,9"
Kraje,CA - Kanada,2014,Wartość importu towarów według krajów pochodzenia,"1 294 773,2"
Kraje,CA - Kanada,2015,Wartość importu towarów według krajów pochodzenia,"1 398 541,7"
Kraje,CA - Kanada,2016,Wartość importu towarów według krajów pochodzenia,"1 436 470,9"
Kraje,CA - Kanada,2017,Wartość importu towarów według krajów pochodzenia,"2 582 821,8"
Kraje,CA - Kanada,2018,Wartość importu towarów według krajów pochodzenia,"1 803 412,3"
Kraje,CA - Kanada,2019,Wartość importu towarów według krajów pochodzenia,"1 625 592,9"
Kraje,CA - Kanada,2020,Wartość importu towarów według krajów pochodzenia,"1 614 999,0"
Kraje,CA - Kanada,2021,Wartość importu towarów według krajów pochodzenia,"2 311 843,5"
Kraje,CA - Kanada,2022,Wartość importu towarów według krajów pochodzenia,"3 953 227,4"
Kraje,CA - Kanada,2010,Wartość importu towarów według krajów wysyłki,"1 464 080,9"
Kraje,CA - Kanada,2011,Wartość importu towarów według krajów wysyłki,"796 601,9"
Kraje,CA - Kanada,2012,Wartość importu towarów według krajów wysyłki,"979 880,9"
Kraje,CA - Kanada,2013,Wartość importu towarów według krajów wysyłki,"1 282 613,7"
Kraje,CA - Kanada,2014,Wartość importu towarów według krajów wysyłki,"1 008 782,3"
Kraje,CA - Kanada,2015,Wartość importu towarów według krajów wysyłki,"1 115 485,2"
Kraje,CA - Kanada,2016,Wartość importu towarów według krajów wysyłki,"1 561 502,9"
Kraje,CA - Kanada,2017,Wartość importu towarów według krajów wysyłki,"1 894 409,8"
Kraje,CA - Kanada,2018,Wartość importu towarów według krajów wysyłki,"1 817 014,1"
Kraje,CA - Kanada,2019,Wartość importu towarów według krajów wysyłki,"1 809 520,1"
Kraje,CA - Kanada,2020,Wartość importu towarów według krajów wysyłki,"1 410 700,6"
Kraje,CA - Kanada,2021,Wartość importu towarów według krajów wysyłki,"1 865 752,3"
Kraje,CA - Kanada,2022,Wartość importu towarów według krajów wysyłki,"2 540 443,4"
Kraje,CA - Kanada,2010,Wartość usług nabytych,"405 871,4"
Kraje,CA - Kanada,2011,Wartość usług nabytych,"380 618,1"
Kraje,CA - Kanada,2012,Wartość usług nabytych,"393 877,3"
Kraje,CA - Kanada,2013,Wartość usług nabytych,"362 121,8"
Kraje,CA - Kanada,2014,Wartość usług nabytych,"417 749,0"
Kraje,CA - Kanada,2015,Wartość usług nabytych,"461 601,4"
Kraje,CA - Kanada,2016,Wartość usług nabytych,"544 298,0"
Kraje,CA - Kanada,2017,Wartość usług nabytych,"581 541,4"
Kraje,CA - Kanada,2018,Wartość usług nabytych,"634 708,6"
Kraje,CA - Kanada,2019,Wartość usług nabytych,"689 077,5"
Kraje,CA - Kanada,2020,Wartość usług nabytych,"456 296,8"
Kraje,CA - Kanada,2021,Wartość usług nabytych,"600 817,0"
Kraje,CA - Kanada,2022,Wartość usług nabytych,.
Kraje,CG - Kongo,2010,Wartość importu towarów według krajów pochodzenia,"10 672,9"
Kraje,CG - Kongo,2011,Wartość importu towarów według krajów pochodzenia,"5 041,0"
Kraje,CG - Kongo,2012,Wartość importu towarów według krajów pochodzenia,"8 447,1"
Kraje,CG - Kongo,2013,Wartość importu towarów według krajów pochodzenia,"7 685,2"
Kraje,CG - Kongo,2014,Wartość importu towarów według krajów pochodzenia,"11 430,4"
Kraje,CG - Kongo,2015,Wartość importu towarów według krajów pochodzenia,"69 617,0"
Kraje,CG - Kongo,2016,Wartość importu towarów według krajów pochodzenia,"8 313,8"
Kraje,CG - Kongo,2017,Wartość importu towarów według krajów pochodzenia,"7 316,4"
Kraje,CG - Kongo,2018,Wartość importu towarów według krajów pochodzenia,"13 769,5"
Kraje,CG - Kongo,2019,Wartość importu towarów według krajów pochodzenia,"11 019,1"
Kraje,CG - Kongo,2020,Wartość importu towarów według krajów pochodzenia,"3 852,3"
Kraje,CG - Kongo,2021,Wartość importu towarów według krajów pochodzenia,"3 530,3"
Kraje,CG - Kongo,2022,Wartość importu towarów według krajów pochodzenia,"30 118,7"
Kraje,CG - Kongo,2010,Wartość importu towarów według krajów wysyłki,"6 312,5"
Kraje,CG - Kongo,2011,Wartość importu towarów według krajów wysyłki,"3 258,1"
Kraje,CG - Kongo,2012,Wartość importu towarów według krajów wysyłki,"2 543,5"
Kraje,CG - Kongo,2013,Wartość importu towarów według krajów wysyłki,"20 635,5"
Kraje,CG - Kongo,2014,Wartość importu towarów według krajów wysyłki,"2 171,1"
Kraje,CG - Kongo,2015,Wartość importu towarów według krajów wysyłki,"64 557,5"
Kraje,CG - Kongo,2016,Wartość importu towarów według krajów wysyłki,"4 886,7"
Kraje,CG - Kongo,2017,Wartość importu towarów według krajów wysyłki,"4 349,4"
Kraje,CG - Kongo,2018,Wartość importu towarów według krajów wysyłki,"8 942,7"
Kraje,CG - Kongo,2019,Wartość importu towarów według krajów wysyłki,"3 671,2"
Kraje,CG - Kongo,2020,Wartość importu towarów według krajów wysyłki,"1 717,2"
Kraje,CG - Kongo,2021,Wartość importu towarów według krajów wysyłki,"2 465,6"
Kraje,CG - Kongo,2022,Wartość importu towarów według krajów wysyłki,"28 343,3"
Kraje,CG - Kongo,2010,Wartość usług nabytych,.
Kraje,CG - Kongo,2011,Wartość usług nabytych,.
Kraje,CG - Kongo,2012,Wartość usług nabytych,.
Kraje,CG - Kongo,2013,Wartość usług nabytych,"216,3"
Kraje,CG - Kongo,2014,Wartość usług nabytych,.
Kraje,CG - Kongo,2015,Wartość usług nabytych,.
Kraje,CG - Kongo,2016,Wartość usług nabytych,.
Kraje,CG - Kongo,2017,Wartość usług nabytych,.
Kraje,CG - Kongo,2018,Wartość usług nabytych,.
Kraje,CG - Kongo,2019,Wartość usług nabytych,.
Kraje,CG - Kongo,2020,Wartość usług nabytych,"161,8"
Kraje,CG - Kongo,2021,Wartość usług nabytych,"496,6"
Kraje,CG - Kongo,2022,Wartość usług nabytych,.
Kraje,CH - Szwajcaria,2010,Wartość importu towarów według krajów pochodzenia,"4 540 790,7"
Kraje,CH - Szwajcaria,2011,Wartość importu towarów według krajów pochodzenia,"4 890 129,4"
Kraje,CH - Szwajcaria,2012,Wartość importu towarów według krajów pochodzenia,"5 048 202,0"
Kraje,CH - Szwajcaria,2013,Wartość importu towarów według krajów pochodzenia,"5 079 809,5"
Kraje,CH - Szwajcaria,2014,Wartość importu towarów według krajów pochodzenia,"5 616 853,6"
Kraje,CH - Szwajcaria,2015,Wartość importu towarów według krajów pochodzenia,"5 894 628,9"
Kraje,CH - Szwajcaria,2016,Wartość importu towarów według krajów pochodzenia,"5 934 182,8"
Kraje,CH - Szwajcaria,2017,Wartość importu towarów według krajów pochodzenia,"6 383 967,2"
Kraje,CH - Szwajcaria,2018,Wartość importu towarów według krajów pochodzenia,"7 166 763,8"
Kraje,CH - Szwajcaria,2019,Wartość importu towarów według krajów pochodzenia,"7 446 879,3"
Kraje,CH - Szwajcaria,2020,Wartość importu towarów według krajów pochodzenia,"8 878 111,5"
Kraje,CH - Szwajcaria,2021,Wartość importu towarów według krajów pochodzenia,"8 989 509,0"
Kraje,CH - Szwajcaria,2022,Wartość importu towarów według krajów pochodzenia,"10 831 463,3"
Kraje,CH - Szwajcaria,2010,Wartość importu towarów według krajów wysyłki,"4 177 175,5"
Kraje,CH - Szwajcaria,2011,Wartość importu towarów według krajów wysyłki,"4 316 482,1"
Kraje,CH - Szwajcaria,2012,Wartość importu towarów według krajów wysyłki,"4 302 787,7"
Kraje,CH - Szwajcaria,2013,Wartość importu towarów według krajów wysyłki,"4 501 617,1"
Kraje,CH - Szwajcaria,2014,Wartość importu towarów według krajów wysyłki,"4 975 617,4"
Kraje,CH - Szwajcaria,2015,Wartość importu towarów według krajów wysyłki,"5 001 886,3"
Kraje,CH - Szwajcaria,2016,Wartość importu towarów według krajów wysyłki,"5 271 747,7"
Kraje,CH - Szwajcaria,2017,Wartość importu towarów według krajów wysyłki,"5 160 640,8"
Kraje,CH - Szwajcaria,2018,Wartość importu towarów według krajów wysyłki,"5 683 570,2"
Kraje,CH - Szwajcaria,2019,Wartość importu towarów według krajów wysyłki,"5 791 962,3"
Kraje,CH - Szwajcaria,2020,Wartość importu towarów według krajów wysyłki,"5 839 432,9"
Kraje,CH - Szwajcaria,2021,Wartość importu towarów według krajów wysyłki,"6 215 978,2"
Kraje,CH - Szwajcaria,2022,Wartość importu towarów według krajów wysyłki,"7 844 007,5"
Kraje,CH - Szwajcaria,2010,Wartość usług nabytych,"3 347 150,4"
Kraje,CH - Szwajcaria,2011,Wartość usług nabytych,"3 704 194,7"
Kraje,CH - Szwajcaria,2012,Wartość usług nabytych,"4 105 437,8"
Kraje,CH - Szwajcaria,2013,Wartość usług nabytych,"4 938 501,5"
Kraje,CH - Szwajcaria,2014,Wartość usług nabytych,"5 838 888,0"
Kraje,CH - Szwajcaria,2015,Wartość usług nabytych,"6 290 665,5"
Kraje,CH - Szwajcaria,2016,Wartość usług nabytych,"7 169 529,4"
Kraje,CH - Szwajcaria,2017,Wartość usług nabytych,"6 465 861,6"
Kraje,CH - Szwajcaria,2018,Wartość usług nabytych,"6 472 532,8"
Kraje,CH - Szwajcaria,2019,Wartość usług nabytych,"7 111 742,3"
Kraje,CH - Szwajcaria,2020,Wartość usług nabytych,"7 245 898,8"
Kraje,CH - Szwajcaria,2021,Wartość usług nabytych,"9 119 203,0"
Kraje,CH - Szwajcaria,2022,Wartość usług nabytych,.
Kraje,CN - Chiny,2010,Wartość importu towarów według krajów pochodzenia,"50 448 679,7"
Kraje,CN - Chiny,2011,Wartość importu towarów według krajów pochodzenia,"54 220 992,7"
Kraje,CN - Chiny,2012,Wartość importu towarów według krajów pochodzenia,"57 582 924,6"
Kraje,CN - Chiny,2013,Wartość importu towarów według krajów pochodzenia,"61 127 085,0"
Kraje,CN - Chiny,2014,Wartość importu towarów według krajów pochodzenia,"73 454 353,0"
Kraje,CN - Chiny,2015,Wartość importu towarów według krajów pochodzenia,"85 748 368,0"
Kraje,CN - Chiny,2016,Wartość importu towarów według krajów pochodzenia,"94 235 245,9"
Kraje,CN - Chiny,2017,Wartość importu towarów według krajów pochodzenia,"103 676 743,9"
Kraje,CN - Chiny,2018,Wartość importu towarów według krajów pochodzenia,"112 683 543,6"
Kraje,CN - Chiny,2019,Wartość importu towarów według krajów pochodzenia,"125 723 796,3"
Kraje,CN - Chiny,2020,Wartość importu towarów według krajów pochodzenia,"146 563 952,5"
Kraje,CN - Chiny,2021,Wartość importu towarów według krajów pochodzenia,"195 865 749,3"
Kraje,CN - Chiny,2022,Wartość importu towarów według krajów pochodzenia,"252 290 075,5"
Kraje,CN - Chiny,2010,Wartość importu towarów według krajów wysyłki,"25 389 632,5"
Kraje,CN - Chiny,2011,Wartość importu towarów według krajów wysyłki,"28 506 088,9"
Kraje,CN - Chiny,2012,Wartość importu towarów według krajów wysyłki,"30 785 183,5"
Kraje,CN - Chiny,2013,Wartość importu towarów według krajów wysyłki,"32 478 702,4"
Kraje,CN - Chiny,2014,Wartość importu towarów według krajów wysyłki,"40 778 593,4"
Kraje,CN - Chiny,2015,Wartość importu towarów według krajów wysyłki,"50 733 359,2"
Kraje,CN - Chiny,2016,Wartość importu towarów według krajów wysyłki,"56 465 117,0"
Kraje,CN - Chiny,2017,Wartość importu towarów według krajów wysyłki,"62 279 653,1"
Kraje,CN - Chiny,2018,Wartość importu towarów według krajów wysyłki,"69 644 167,9"
Kraje,CN - Chiny,2019,Wartość importu towarów według krajów wysyłki,"81 034 905,6"
Kraje,CN - Chiny,2020,Wartość importu towarów według krajów wysyłki,"94 603 271,8"
Kraje,CN - Chiny,2021,Wartość importu towarów według krajów wysyłki,"129 644 417,5"
Kraje,CN - Chiny,2022,Wartość importu towarów według krajów wysyłki,"161 940 025,4"
Kraje,CN - Chiny,2010,Wartość usług nabytych,"449 166,2"
Kraje,CN - Chiny,2011,Wartość usług nabytych,"548 255,4"
Kraje,CN - Chiny,2012,Wartość usług nabytych,"489 024,2"
Kraje,CN - Chiny,2013,Wartość usług nabytych,"502 761,3"
Kraje,CN - Chiny,2014,Wartość usług nabytych,"562 307,2"
Kraje,CN - Chiny,2015,Wartość usług nabytych,"596 509,5"
Kraje,CN - Chiny,2016,Wartość usług nabytych,"773 242,6"
Kraje,CN - Chiny,2017,Wartość usług nabytych,"1 281 754,2"
Kraje,CN - Chiny,2018,Wartość usług nabytych,"1 731 886,7"
Kraje,CN - Chiny,2019,Wartość usług nabytych,"2 057 299,0"
Kraje,CN - Chiny,2020,Wartość usług nabytych,"2 412 294,6"
Kraje,CN - Chiny,2021,Wartość usług nabytych,"6 306 112,4"
Kraje,CN - Chiny,2022,Wartość usług nabytych,.
Kraje,CO - Kolumbia,2010,Wartość importu towarów według krajów pochodzenia,"540 135,1"
Kraje,CO - Kolumbia,2011,Wartość importu towarów według krajów pochodzenia,"406 986,1"
Kraje,CO - Kolumbia,2012,Wartość importu towarów według krajów pochodzenia,"208 307,8"
Kraje,CO - Kolumbia,2013,Wartość importu towarów według krajów pochodzenia,"198 276,1"
Kraje,CO - Kolumbia,2014,Wartość importu towarów według krajów pochodzenia,"261 488,6"
Kraje,CO - Kolumbia,2015,Wartość importu towarów według krajów pochodzenia,"430 388,2"
Kraje,CO - Kolumbia,2016,Wartość importu towarów według krajów pochodzenia,"526 429,3"
Kraje,CO - Kolumbia,2017,Wartość importu towarów według krajów pochodzenia,"591 393,0"
Kraje,CO - Kolumbia,2018,Wartość importu towarów według krajów pochodzenia,"994 968,6"
Kraje,CO - Kolumbia,2019,Wartość importu towarów według krajów pochodzenia,"816 865,3"
Kraje,CO - Kolumbia,2020,Wartość importu towarów według krajów pochodzenia,"851 656,9"
Kraje,CO - Kolumbia,2021,Wartość importu towarów według krajów pochodzenia,"772 841,5"
Kraje,CO - Kolumbia,2022,Wartość importu towarów według krajów pochodzenia,"4 834 432,1"
Kraje,CO - Kolumbia,2010,Wartość importu towarów według krajów wysyłki,"174 868,3"
Kraje,CO - Kolumbia,2011,Wartość importu towarów według krajów wysyłki,"184 761,1"
Kraje,CO - Kolumbia,2012,Wartość importu towarów według krajów wysyłki,"27 024,9"
Kraje,CO - Kolumbia,2013,Wartość importu towarów według krajów wysyłki,"26 419,3"
Kraje,CO - Kolumbia,2014,Wartość importu towarów według krajów wysyłki,"29 744,1"
Kraje,CO - Kolumbia,2015,Wartość importu towarów według krajów wysyłki,"116 368,4"
Kraje,CO - Kolumbia,2016,Wartość importu towarów według krajów wysyłki,"208 188,3"
Kraje,CO - Kolumbia,2017,Wartość importu towarów według krajów wysyłki,"298 291,2"
Kraje,CO - Kolumbia,2018,Wartość importu towarów według krajów wysyłki,"733 213,8"
Kraje,CO - Kolumbia,2019,Wartość importu towarów według krajów wysyłki,"536 039,4"
Kraje,CO - Kolumbia,2020,Wartość importu towarów według krajów wysyłki,"523 686,3"
Kraje,CO - Kolumbia,2021,Wartość importu towarów według krajów wysyłki,"380 573,8"
Kraje,CO - Kolumbia,2022,Wartość importu towarów według krajów wysyłki,"4 078 854,3"
Kraje,CO - Kolumbia,2010,Wartość usług nabytych,.
Kraje,CO - Kolumbia,2011,Wartość usług nabytych,"6 552,3"
Kraje,CO - Kolumbia,2012,Wartość usług nabytych,"8 150,5"
Kraje,CO - Kolumbia,2013,Wartość usług nabytych,"7 636,4"
Kraje,CO - Kolumbia,2014,Wartość usług nabytych,"9 366,3"
Kraje,CO - Kolumbia,2015,Wartość usług nabytych,"9 405,0"
Kraje,CO - Kolumbia,2016,Wartość usług nabytych,"21 031,0"
Kraje,CO - Kolumbia,2017,Wartość usług nabytych,"17 181,7"
Kraje,CO - Kolumbia,2018,Wartość usług nabytych,"21 870,2"
Kraje,CO - Kolumbia,2019,Wartość usług nabytych,"21 565,2"
Kraje,CO - Kolumbia,2020,Wartość usług nabytych,"22 065,6"
Kraje,CO - Kolumbia,2021,Wartość usług nabytych,"54 834,3"
Kraje,CO - Kolumbia,2022,Wartość usług nabytych,.
Kraje,CY - Cypr,2010,Wartość importu towarów według krajów pochodzenia,"116 138,4"
Kraje,CY - Cypr,2011,Wartość importu towarów według krajów pochodzenia,"634 491,7"
Kraje,CY - Cypr,2012,Wartość importu towarów według krajów pochodzenia,"656 480,6"
Kraje,CY - Cypr,2013,Wartość importu towarów według krajów pochodzenia,"788 518,8"
Kraje,CY - Cypr,2014,Wartość importu towarów według krajów pochodzenia,"1 159 435,9"
Kraje,CY - Cypr,2015,Wartość importu towarów według krajów pochodzenia,"1 019 325,4"
